ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
s1mple,Oleksandr Kostyliev,25,25-29,1997-10-02,Ukraine,EU,Natus Vincere,CS:GO,1.0
NiKo,Nikola Kovač,25,25-29,1997-02-16,Bosnia and Herzegovina,EU,G2 Esports,CS:GO,1.0
m0NESY,Ilya Osipov,17,15-19,2005-05-01,Russia,EU,G2 Esports,CS:GO,1.0
TenZ,Tyson Ngo,21,20-24,2001-05-05,Canada,NA,Sentinels,VALORANT,3.18
b1t,Valerii Vakhovskyi,19,15-19,2003-01-05,Ukraine,EU,Natus Vincere,CS:GO,1.0
Twistzz,Russel Van Dulken,23,20-24,1999-11-14,Canada,NA,FaZe Clan,CS:GO,1.0
ZywOo,Mathieu Herbaut,22,20-24,2000-11-09,France,EU,Team Vitality,CS:GO,1.0
XANTARES,Can Dörtkardeş,27,25-29,1995-08-07,Turkey,AS,Eternal Fire,CS:GO,1.0
ropz,Robin Kool,23,20-24,1999-12-22,Estonia,EU,FaZe Clan,CS:GO,1.0
ScreaM,Adil Benrlitom,28,25-29,1994-07-02,Belgium,EU,Karmine Corp,VALORANT,3.18
dev1ce,Nicolai Reedtz,27,25-29,1995-09-08,Denmark,EU,Astralis,CS:GO,1.0
yay,Jaccob Whiteaker,24,20-24,1998-09-09,United States,NA,Cloud9,VALORANT,3.18
shroud,Michael Grzesiek,28,25-29,1994-06-02,Canada,NA,Content Creator,VALORANT,3.18
kennyS,Kenny Schrub,27,25-29,1995-05-19,France,EU,Falcons Esports,CS:GO,1.0
electronic,Denis Sharipov,24,20-24,1998-09-02,Russia,EU,Natus Vincere,CS:GO,1.0
L1NK,Travis Mendoza,24,20-24,1998-08-08,United Kingdom,EU,Free Agent,VALORANT,3.18
Mistic,James Orfila,21,20-24,2001-11-21,United Kingdom,EU,Free Agent,VALORANT,3.18
YEKINDAR,Mareks Gaļinskis,23,20-24,1999-10-04,Latvia,EU,Team Liquid,CS:GO,1.0
Aunkere,Eugene Karyat,21,20-24,2001-08-21,Russia,EU,Benched Heroes,CS:GO,1.0
Enzo,Enzo Mestari,26,25-29,1996-06-12,France,EU,Free Agent,VALORANT,3.18
Leo,Leo Jannesson,19,15-19,2003-12-15,Sweden,EU,Fnatic,VALORANT,3.18
b0i,Aaron Thao,26,25-29,1996-11-09,United States,NA,Free Agent,VALORANT,3.18
Kyedae,Kyedae Shymko,21,20-24,2001-12-01,Canada,NA,100 Thieves,VALORANT,3.18
pAura,Melih Karaduran,25,25-29,1997-10-27,Turkey,AS,Team Heretics,VALORANT,3.18
d3ffo,Nikita Sudakov,21,20-24,2001-10-10,Russia,EU,Free Agent,VALORANT,3.18
Alfajer,Emir Ali Beder,17,15-19,2005-06-10,Turkey,AS,Fnatic,VALORANT,3.18
Mazino,Roberto Francisco Rivas Bugueño,21,20-24,2001-06-29,Chile,SA,Leviatan,VALORANT,3.18
Shao,Andrey Kiprsky,22,20-24,2000-01-27,Russia,EU,Natus Vincere,VALORANT,3.18
Toose,Ilya Chernyshov,20,20-24,2002-07-29,Russia,EU,Gambit,Fortnite,0.25
EpikWhale,Shane Cotton,20,20-24,2002-08-03,United States,NA,TSM,Fortnite,0.25
Sommerset,Kayla ,19,15-19,2003-08-09,United States,NA,Content Creator,Fortnite,0.25
MrSavage,Martin Foss Andersen,18,15-19,2004-11-12,Norway,EU,Become Legends,Fortnite,0.25
aqua,David Wang,20,20-24,2002-07-01,Austria,EU,Content Creator,Fortnite,0.25
Rogue,Tanner Trebb,27,25-29,1995-11-29,Canada,NA,NRG,Apex,1.0
Victor,Victor Wong,26,25-29,1996-09-14,United States,NA,NRG,VALORANT,3.18
Marved,Jimmy Nguyen,22,20-24,2000-01-24,Canada,NA,Free Agent,VALORANT,3.18
phaze,Karim Fouad,20,20-24,2002-01-07,Egypt,AF,Team RA’AD,VALORANT,3.18
Suygetsu,Dmitry Ilyushin,20,20-24,2002-07-16,Russia,EU,Natus Vincere,VALORANT,3.18
foxz,Itthirit Ngamsaard,23,20-24,1999-04-08,Thailand,AS,Talon Esports,VALORANT,3.18
lyr1c,Lyric Quinonez,24,20-24,1998-05-11,United States,NA,eUnited,Apex,1.0
sushiboys,Panyawat Subsiriroj,22,20-24,2000-11-06,Thailand,AS,Talon Esports,VALORANT,3.18
Xdll,Yuto Mizomori,17,15-19,2005-12-11,Japan,AS,SCARZ,VALORANT,3.18
mwzera,Leonardo Serrati,21,20-24,2001-06-30,Brazil,SA,FURIA,VALORANT,3.18
Patiphan,Patiphan Chaiwong,19,15-19,2003-09-23,Thailand,AS,Talon Esports,VALORANT,3.18
Cryocells,Matthew Panganiban,20,20-24,2002-12-22,United States,NA,100 Thieves,VALORANT,3.18
Chronicle,Timofeyy Khromov,20,20-24,2002-08-16,Russia,EU,Fnatic,VALORANT,3.18
BCJ,Brendan Jensen,22,20-24,2000-07-04,United States,NA,Evil Geniuses,VALORANT,3.18
C0M,Corbin Lee,22,20-24,2000-05-10,United States,NA,Evil Geniuses,VALORANT,3.18
Nozwerr,Agustin Ibarra,24,20-24,1998-05-08,Argentina,SA,Leviatan,VALORANT,3.18
Nick Eh 30,Nicholas Amyoony,27,25-29,1995-03-14,Canada,NA,Content Creator,Fortnite,0.25
Bugha,Kyle Giersdorf,20,20-24,2002-12-30,United States,NA,Content Creator,Fortnite,0.25
Jacob,Jakub Wrotniak,21,20-24,2001-07-14,Poland,EU,Become Legends,Fortnite,0.25
Zander,Alexander Dituri,21,20-24,2001-10-01,Canada,NA,Version1,VALORANT,3.18
SugarZ3ro,Shota Watanabe,19,15-19,2003-03-18,Japan,AS,ZETA DIVISION,VALORANT,3.18
Faide,Cole Caswell,22,20-24,2000-11-07,United States,NA,Content Creator,Apex,1.0
NagZet,Juan Pablo Lopez Miranda,26,25-29,1996-11-12,Chile,SA,KRÜ Esports,VALORANT,3.18
derrek,Derrek Ha,25,25-29,1997-09-16,United States,NA,100 Thieves,VALORANT,3.18
Laz,Koji Ushida,27,25-29,1995-11-26,Japan,AS,ZETA DIVISION,VALORANT,3.18
ethos,Alan Ruan,23,20-24,1999-05-02,United States,NA,NRG,VALORANT,3.18
Zyppan,Pontus Eek,20,20-24,2002-07-17,Sweden,EU,Natus Vincere,VALORANT,3.18
nukkye,Žygimantas Chmieliauskas,25,25-29,1997-11-05,Lithuania,EU,Giants,VALORANT,3.18
benjyfishy,Benjy Fish,18,15-19,2004-04-02,United Kingdom,EU,Content Creator,VALORANT,3.18
Malibuca,Danila Yakovenko,17,15-19,2005-10-14,Russia,EU,Galaxy Racer,Fortnite,0.25
Setty,Iwo Zając,19,15-19,2003-09-08,Poland,EU,Become Legends,Fortnite,0.25
dgzin,Douglas Silva,22,20-24,2000-07-06,Brazil,SA,FURIA,VALORANT,3.18
BuZz,Yu Byung-chul,19,15-19,2003-01-13,South Korea,AS,DRX,VALORANT,3.18
Martoz,Manuel Martinez,26,25-29,1996-12-12,Netherlands,EU,FaZe Clan,Fortnite,0.25
keznit,Angelo Mori,21,20-24,2001-08-14,Chile,SA,Leviatan,VALORANT,3.18
nAts,Ayaz Akhmetshin,20,20-24,2002-07-01,Russia,EU,Team Liquid,VALORANT,3.18
iiTzTimmy,Timmy An,22,20-24,2000-04-19,United States,NA,Content Creator,Apex,1.0
f0rsakeN,Jason Susanto,18,15-19,2004-03-25,Indonesia,AS,Paper Rex,VALORANT,3.18
babybay,Andrej Francisty,27,25-29,1995-06-23,United States,NA,FaZe Clan,VALORANT,3.18
Noahreyli,Noah Rey,17,15-19,2005-06-30,Switzerland,EU,Wave Esports,Fortnite,0.25
7ssk7,Artur Kyurshin,23,20-24,1999-02-26,Belarus,EU,Natus Vincere,VALORANT,3.18
Tfue,Turner Tenney,25,25-29,1998-01-02,United States,NA,Content Creator,Fortnite,0.25
cauanzin,Cauan Pereira,17,15-19,2005-08-02,Brazil,SA,LOUD,VALORANT,3.18
d4v41,Khalish Rusyaidee,24,20-24,1998-10-14,Malaysia,AS,Paper Rex,VALORANT,3.18
tuyz,Arthur Vieira,19,15-19,2003-08-03,Brazil,SA,LOUD,VALORANT,3.18
Sacy,Gustavo Rossi,25,25-29,1997-12-02,Brazil,SA,Sentinels,VALORANT,3.18
Sayf,Saif Jibraeel,22,20-24,2001-01-01,Sweden,EU,Team Liquid,VALORANT,3.18
AslaN,Ceyhun Aslan,25,25-29,1997-05-07,Germany,EU,BIG,VALORANT,3.18
Shyy,Fabian Usnayo,18,15-19,2004-09-22,Chile,SA,Leviatan,VALORANT,3.18
rhyme,Emir  Muminovic ,23,20-24,1999-01-12,Bosnia and Herzegovina,EU,Giants,VALORANT,3.18
keloqz,Wassim Cista,19,15-19,2003-03-26,France,EU,Team Heretics,VALORANT,3.18
Meddo,Johan Renbjörk Lundborg,23,20-24,1999-07-21,Sweden,EU,Free Agent,VALORANT,3.18
Asuna,Peter Mazuryk,19,15-19,2003-07-26,United States,NA,100 Thieves,VALORANT,3.18
dapr,Michael Gulino,24,20-24,1999-01-01,United States,NA,G2 Esports,VALORANT,3.18
bang,Sean Bezerra,18,15-19,2004-03-13,United States,NA,100 Thieves,VALORANT,3.18
stellar,Brenden McGrath,26,25-29,1996-07-29,United States,NA,100 Thieves,VALORANT,3.18
soulcas,Dom Sulcas,23,20-24,2000-01-02,United Kingdom,EU,Team Liquid,VALORANT,3.18
leaf,Nathan Orf,19,15-19,2003-11-24,United States,NA,Cloud9,VALORANT,3.18
ImperialHal,Philip Dosen,23,20-24,1999-05-31,United States,NA,TSM,Apex,1.0
Zekken,Zachary Patrone,17,15-19,2005-03-19,United States,NA,Sentinels,VALORANT,3.18
Surefour,Lane Roberts,28,25-29,1994-11-04,Canada,NA,Content Creator,Overwatch,0.3
koldamenta,Jose Luis Aranguren Herrero,29,25-29,1993-05-24,Spain,EU,KOI,VALORANT,3.18
adverso,Benjamín Poblete,24,20-24,1998-03-13,Chile,SA,00Nation,VALORANT,3.18
Sheydos,Bogdan Naumov,21,20-24,2001-10-01,Russia,EU,KOI,VALORANT,3.18
mimi,Michaela Lintrup,25,25-29,1997-07-02,Denmark,EU,G2 Gozen,VALORANT,3.18
trexx,Nikita Cherednichenko,18,15-19,2004-04-24,Russia,EU,KOI,VALORANT,3.18
xmpl,Artem Adarkin,23,20-24,1999-04-23,Russia,EU,Natus Vincere,PUBG,0.24
Beaulo,Jason Doty,21,20-24,2001-06-19,United States,NA,TSM,Rainbow,0.26
Viss,Colton Visser,28,25-29,1994-08-22,United States,NA,TSM,Apex,1.0
Spoit,William Löfstedt,18,15-19,2004-04-11,Sweden,EU,Rogue,Rainbow,0.26
Pengu,Niclas Mouritzen,25,25-29,1997-10-07,Denmark,EU,DarkZero Esports,Rainbow,0.26
ibiza,Jordan Van Geldere,26,25-29,1996-08-24,Netherlands,EU,the Woo,PUBG,0.24
SILERZZ,Tristan van den Houte,20,20-24,2002-11-15,Belgium,EU,Content Creator,PUBG,0.24
ubah,Ivan Kapustin,28,25-29,1994-09-22,Russia,EU,Natus Vincere,PUBG,0.24
TGLTN,James Giezen,22,20-24,2000-11-10,Australia,OC,Soniqs,PUBG,0.24
Jeemzz,Jim Eliassen,26,25-29,1996-10-06,Norway,EU,OVERPEEKERS,PUBG,0.24
chocoTaco,Jake Throop,34,30-34,1988-09-22,United States,NA,TSM,Apex,1.0
Pio,Cha Seung-Hoon,26,25-29,1996-03-24,South Korea,AS,Gen.G,PUBG,0.24
Fuzzface,David Tillberg-Persson,28,25-29,1994-02-08,United States,NA,OVERPEEKERS,PUBG,0.24
wippie,Maxim Shepelev,23,20-24,1999-05-31,Russia,EU,G2 Esports,VALORANT,3.18
Apryze,Anthony Andrade,23,20-24,1999-01-19,United States,NA,NRG,Apex,1.0
byali,Paweł Bieliński,28,25-29,1994-04-30,Poland,EU,UNGENTIUM,CS:GO,1.0
honda,Lucas Cano,22,20-24,2000-07-21,Brazil,SA,Case Esports,CS:GO,1.0
fox,Ricardo Pacheco,36,35-39,1986-11-15,Portugal,EU,Fourteen Esports,CS:GO,1.0
DD,Wu Hui,28,25-29,1994-08-11,China,AS,Free Agent,CS:GO,1.0
adreN,Eric Hoag,32,30-34,1990-04-26,United States,NA,Team Liquid,CS:GO,1.0
Kvem,Vladyslav Korol,21,20-24,2001-08-29,Ukraine,EU,IKLA,CS:GO,1.0
neaLaN,Sanzhar Iskhakov,22,20-24,2000-08-06,Kazakhstan,AS,Evil Geniuses,CS:GO,1.0
tudsoN,Filip Tudev,22,20-24,2000-03-10,Poland,EU,Free Agent,CS:GO,1.0
Lucky,Philip Ewald,20,20-24,2002-12-13,Denmark,EU,Tricked Esport,CS:GO,1.0
LUCAS1,Lucas Teles,27,25-29,1995-07-14,Brazil,SA,Free Agent,CS:GO,1.0
xsepower,Bogdan Chernikov,24,20-24,1998-02-26,Russia,EU,Nemiga Gaming,CS:GO,1.0
Freeman,WinghEi Cheung,23,20-24,1999-07-25,Hong Kong,AS,TyLoo,CS:GO,1.0
Walco,Colby Walsh,21,20-24,2001-11-12,Canada,NA,Evil Geniuses,CS:GO,1.0
steel,Lucas Lopes,29,25-29,1993-11-19,Brazil,SA,Case Esports,CS:GO,1.0
JamYoung,Yi Yang,21,20-24,2001-07-23,China,AS,Rare Atom,CS:GO,1.0
MAJ3R,Engin Kupeli,31,30-34,1991-01-25,Turkey,AS,Eternal Fire,CS:GO,1.0
wiz,Jerric Jiang,21,20-24,2001-02-21,United States,NA,Evil Geniuses,CS:GO,1.0
tenzki,Jesper Mikalski,28,25-29,1994-06-25,Denmark,EU,Free Agent,CS:GO,1.0
Nifty,Noah Francis,25,25-29,1997-11-23,United States,NA,Free Agent,CS:GO,1.0
Maniac,Mathieu Quiquerez,32,30-34,1990-06-29,Switzerland,EU,Content Creator,CS:GO,1.0
stanislaw,Peter Jarguz,25,25-29,1997-12-28,Canada,NA,Evil Geniuses,CS:GO,1.0
JDC,Jon de Castro,22,20-24,2000-04-07,Germany,EU,MOUZ,CS:GO,1.0
Buzz,Christian Møss Andersen,19,15-19,2003-03-14,Denmark,EU,Astralis,CS:GO,1.0
meyern,Ignacio Meyer,20,20-24,2002-09-10,Argentina,SA,Isurus,CS:GO,1.0
v1c7oR,Viktor Dyankov,28,25-29,1994-07-28,Bulgaria,EU,K1CK,CS:GO,1.0
h4rn,Deyvid Benchev,22,20-24,2000-06-07,Bulgaria,EU,Enterprise Esports,CS:GO,1.0
REDSTAR,Hristiyan Pironkov,21,20-24,2001-08-15,Bulgaria,EU,Free Agent,CS:GO,1.0
speed4k,Anton Titov,26,25-29,1996-06-04,Russia,EU,Free Agent,CS:GO,1.0
allu,Aleksi Jalli,30,30-34,1992-05-20,Finland,EU,JANO Esports,CS:GO,1.0
aizy,Philip Aistrup,26,25-29,1996-06-04,Denmark,EU,Tokyo Revengers,CS:GO,1.0
denis,Denis Howell,28,25-29,1994-08-18,Germany,EU,Free Agent,CS:GO,1.0
XigN,Hyun-pyo Lee,25,25-29,1997-03-26,South Korea,AS,Team NKT,CS:GO,1.0
balblna,Gregory Oleinick,26,25-29,1996-01-15,Russia,EU,Free Agent,CS:GO,1.0
mds,Aleksandr Rubets,24,20-24,1998-08-13,Belarus,EU,Websterz,CS:GO,1.0
Dosia,Mikhail Stolyarov,34,30-34,1988-06-19,Russia,EU,Free Agent,CS:GO,1.0
mou,Rüstem Tlepov,31,30-34,1991-10-17,Kazakhstan,AS,Free Agent,CS:GO,1.0
AdreN,Dauren Kystaubayev,32,30-34,1990-02-04,Kazakhstan,AS,Free Agent,CS:GO,1.0
SANJI,Sanjar Kuliev,24,20-24,1998-11-18,Uzbekistan,AS,Virtus.pro,CS:GO,1.0
MODDII,Andreas Fridh,33,30-34,1989-07-18,Sweden,EU,Astralis Talent,CS:GO,1.0
Bubzkji,Lucas Andersen,24,20-24,1998-07-03,Denmark,EU,Free Agent,CS:GO,1.0
USTILO,Karlo Pivac,29,25-29,1993-08-10,Australia,OC,Free Agent,CS:GO,1.0
Sonic,Aran Groesbeek,24,20-24,1998-12-02,South Africa,AF,Free Agent,CS:GO,1.0
kressy,Marko Đorđević,26,25-29,1996-07-19,Germany,EU,Free Agent,CS:GO,1.0
fl0m,Erik Flom,30,30-34,1992-09-14,United States,NA,Mythic,CS:GO,1.0
dennis,Dennis Edman,31,30-34,1991-01-07,Sweden,EU,Free Agent,CS:GO,1.0
bondik,Vlаdуslаv Nеchуроrchuk,29,25-29,1993-07-02,Ukraine,EU,Free Agent,CS:GO,1.0
sycrone,Dennis Nielsen,26,25-29,1996-02-11,Denmark,EU,MOUZ,CS:GO,1.0
EspiranTo,Rokas EspiranTo,21,20-24,2001-04-12,Lithuania,EU,Free Agent,CS:GO,1.0
NaToSaphiX,Niels Christian Sillassen,26,25-29,1996-08-17,Denmark,EU,Free Agent,CS:GO,1.0
oBo,Owen Schlatter,19,15-19,2003-06-26,United States,NA,Free Agent,CS:GO,1.0
HS,Kevin Tarn,26,25-29,1996-12-15,Estonia,EU,Free Agent,CS:GO,1.0
Edward,Ioann Sukhariev,35,35-39,1987-12-28,Ukraine,EU,Free Agent,CS:GO,1.0
Xizt,Richard Landström,31,30-34,1991-02-22,Sweden,EU,Heroic,CS:GO,1.0
MICHU,Michał Müller,26,25-29,1996-12-29,Poland,EU,Benched Heroes,CS:GO,1.0
doto,Joonas Forss,26,25-29,1996-02-18,Finland,EU,HAVU,CS:GO,1.0
keiz,Ruann Rotondano,21,20-24,2001-07-22,Brazil,SA,Team oNe eSports,CS:GO,1.0
waterfaLLZ,Nikita Matveyev,27,25-29,1995-06-18,Russia,EU,Free Agent,CS:GO,1.0
Senoxe,Adam Lau,23,20-24,1999-08-10,Canada,NA,Sentinels,Apex,1.0
kRYSTAL,Kevin Amend,29,25-29,1993-07-23,Germany,EU,Free Agent,CS:GO,1.0
gAuLeS,Alexandre Chiqueta,39,35-39,1983-12-02,Brazil,SA,Content Creator,CS:GO,1.0
hutji,Pavel Lashkov,27,25-29,1995-09-13,Russia,EU,Free Agent,CS:GO,1.0
bit,Bruno Lima,32,30-34,1990-07-16,Brazil,SA,MIBR,CS:GO,1.0
ISSAA,Issa Murad,26,25-29,1996-12-23,Jordan,AS,Free Agent,CS:GO,1.0
kyxsan,Damjan Stoilkovski,22,20-24,2000-05-26,North Macedonia,EU,Apeks,CS:GO,1.0
smooya,Owen Butterfield,23,20-24,1999-08-16,United Kingdom,EU,Benched Heroes,CS:GO,1.0
KrizzeN,Aidyn Turlybekov,23,20-24,1999-09-24,Kazakhstan,AS,Free Agent,CS:GO,1.0
emi,Luka Vukovic,29,25-29,1993-09-05,Serbia,EU,Partizan Esports,CS:GO,1.0
phr,Tomasz Wójcik,26,25-29,1996-09-26,Poland,EU,AGO,CS:GO,1.0
morelz,Piotr Taterka,28,25-29,1994-07-28,Poland,EU,Illuminar,CS:GO,1.0
mouz,Mikołaj Karolewski,27,25-29,1995-10-25,Poland,EU,Free Agent,CS:GO,1.0
GruBy,Dominik Świderski,27,25-29,1995-02-28,Poland,EU,UNGENTIUM,CS:GO,1.0
seized,Denis Kostin,28,25-29,1994-09-09,Russia,EU,9 Pandas,CS:GO,1.0
GuardiaN,Ladislav Kovács,31,30-34,1991-07-09,Slovakia,EU,Free Agent,CS:GO,1.0
xertioN,Dorian Berman,18,15-19,2004-07-22,Israel,AS,MOUZ,CS:GO,1.0
kolor,Ádám Domoszlay,23,20-24,1999-10-26,Hungary,EU,Free Agent,CS:GO,1.0
CRUC1AL,Joey Steusel,25,25-29,1997-02-04,Netherlands,EU,Endpoint,CS:GO,1.0
rallen,Karol Radowicz,28,25-29,1994-06-08,Poland,EU,Free Agent,CS:GO,1.0
Surreal,Kia Man,26,25-29,1996-05-11,United Kingdom,EU,Endpoint,CS:GO,1.0
draken,William Sundin,27,25-29,1995-10-05,Sweden,EU,Into The Breach,CS:GO,1.0
w0nderful,Ihor Zhdanov,18,15-19,2004-12-14,Ukraine,EU,Team Spirit,CS:GO,1.0
nqz,Lucas Soares,17,15-19,2005-01-18,Brazil,SA,9z Team,CS:GO,1.0
