ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
woxic,Özgür Eker,24,20-24,1998-09-02,Turkey,AS,Eternal Fire,CS:GO,1.0
exit,Raphael Lacerda,26,25-29,1996-08-29,Brazil,SA,MIBR,CS:GO,1.0
chelo,Marcelo Cespedes,24,20-24,1998-06-08,Brazil,SA,Imperial Esports,CS:GO,1.0
hampus,Hampus Poser,24,20-24,1998-11-26,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0
Plopski,Nicolas Gonzalez Zamora,20,20-24,2002-05-14,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0
Ax1Le,Sergey Rykhtorov,20,20-24,2002-04-29,Russia,EU,Cloud9,CS:GO,1.0
nafany,Vladislav Gorshkov,21,20-24,2001-06-15,Russia,EU,Cloud9,CS:GO,1.0
Xeppaa,Erick Bach,22,20-24,2000-07-19,United States,NA,Cloud9,VALORANT,3.18
faveN,Josef Baumann,22,20-24,2000-02-08,Germany,EU,BIG,CS:GO,1.0
Calyx,Buğra Arkın,24,20-24,1998-07-27,Turkey,AS,Eternal Fire,CS:GO,1.0
xfl0ud,Yasin Koç,20,20-24,2002-12-23,Turkey,AS,Eternal Fire,CS:GO,1.0
chopper,Leonid Vishnyakov,25,25-29,1997-02-04,Russia,EU,Team Spirit,CS:GO,1.0
Liazz,Jay Tregillgas,25,25-29,1997-08-30,Australia,OC,Grayhound Gaming,CS:GO,1.0
Jame,Dzhami Ali,24,20-24,1998-08-23,Russia,EU,Outsiders,CS:GO,1.0
Qikert,Aleksei Golubev,24,20-24,1999-01-01,Kazakhstan,AS,Outsiders,CS:GO,1.0
FL1T,Evgeny Lebedev,22,20-24,2000-12-20,Russia,EU,Outsiders,CS:GO,1.0
buster,Timur Tulepov,23,20-24,1999-12-07,Kazakhstan,AS,Virtus.pro,CS:GO,1.0
Patsi,Robert Isyanov,19,15-19,2003-09-06,Russia,EU,Team Spirit,CS:GO,1.0
degster,Abdul Gasanov,21,20-24,2001-07-21,Russia,EU,OG Esports,CS:GO,1.0
magixx,Boris Vorobiev,19,15-19,2003-06-03,Russia,EU,Team Spirit,CS:GO,1.0
syrsoN,Florian Rische,26,25-29,1996-04-19,Germany,EU,BIG,CS:GO,1.0
KRIMZ,Freddy Johansson,28,25-29,1994-04-25,Sweden,EU,Fnatic,CS:GO,1.0
Valde,Valdemar Bjørn Vangså,27,25-29,1995-06-12,Denmark,EU,ENCE,CS:GO,1.0
MUTiRiS,Christopher Fernandes,30,30-34,1992-12-26,Portugal,EU,SAW,CS:GO,1.0
AZR,Aaron Ward,30,30-34,1992-10-02,New Zealand,OC,Free Agent,CS:GO,1.0
afro,Aurélien Drapier,23,20-24,1999-06-11,France,EU,HEET,CS:GO,1.0
Ex3rcice,Pierre Bulinge,22,20-24,2000-02-04,France,EU,HEET,CS:GO,1.0
Djoko,Thomas Pavoni,25,25-29,1997-04-16,France,EU,HEET,CS:GO,1.0
DeathZz,Raúl Jordán Nieto,26,25-29,1996-01-31,Spain,EU,Movistar Riders,CS:GO,1.0
bubble,Karem Kostadinov,31,30-34,1991-08-07,Bulgaria,EU,Free Agent,CS:GO,1.0
Gratisfaction,Sean Kaiwai,26,25-29,1996-03-06,New Zealand,OC,Extremum,CS:GO,1.0
SHiPZ,Georgi Grigorov,22,20-24,2000-08-16,Bulgaria,EU,500,CS:GO,1.0
Bymas,Aurimas Pipiras,19,15-19,2003-08-12,Lithuania,EU,MOUZ,CS:GO,1.0
frozen,David Čerňanský ,20,20-24,2002-07-18,Slovakia,EU,MOUZ,CS:GO,1.0
torzsi,Ádám Torzsás,20,20-24,2002-05-17,Hungary,EU,MOUZ,CS:GO,1.0
imoRR,Ömer Karataş,23,20-24,1999-12-20,Turkey,AS,Eternal Fire,CS:GO,1.0
dexter,Chris Nong,28,25-29,1994-08-15,Australia,OC,MOUZ,CS:GO,1.0
rmn,Ricardo Oliveira,30,30-34,1992-05-14,Portugal,EU,SAW,CS:GO,1.0
acoR,Frederik Gyldstrand,25,25-29,1997-06-24,Denmark,EU,GamerLegion,CS:GO,1.0
niko,Nikolaj Kristensen,24,20-24,1998-05-28,Denmark,EU,OG Esports,CS:GO,1.0
biguzera,Rodrigo Bittencourt,25,25-29,1997-02-18,Brazil,SA,paiN Gaming,CS:GO,1.0
flameZ,Shahar Shuhan,19,15-19,2003-06-22,Israel,AS,OG Esports,CS:GO,1.0
oskar,Tomáš Šťastný,31,30-34,1991-06-27,Czechia,EU,SINNERS Esports,CS:GO,1.0
nexa,Nemanja Isaković,25,25-29,1997-04-25,Serbia,EU,OG Esports,CS:GO,1.0
mantuu,Mateusz Wilczewski,25,25-29,1997-08-21,Poland,EU,Free Agent,CS:GO,1.0
NEOFRAG,Adam Zouhar,21,20-24,2001-05-19,Czechia,EU,OG Esports,CS:GO,1.0
SHOCK,Max Kvapil,22,20-24,2000-10-29,Czechia,EU,SINNERS Esports,CS:GO,1.0
Lekr0,Jonas Olofsson,29,25-29,1993-07-02,Sweden,EU,Free Agent,CS:GO,1.0
twist,Simon Eliasson,28,25-29,1994-12-12,Sweden,EU,Finest,CS:GO,1.0
stadodo,Renato Gonçalves ,26,25-29,1996-11-17,Portugal,EU,For The Win Esports,CS:GO,1.0
arki,Omar Chakkor,33,30-34,1989-12-07,Spain,EU,SAW,CS:GO,1.0
JUST,Tiago Moura,26,25-29,1996-04-29,Portugal,EU,SAW,CS:GO,1.0
hardzao,Wesley Lopes,21,20-24,2001-01-16,Brazil,SA,paiN Gaming,CS:GO,1.0
Kragie,Phillip Krag,23,20-24,1999-07-21,Denmark,EU,Content Creator,Overwatch,0.3
Dizzy,Coby Meadows,22,20-24,2000-05-19,United States,NA,Content Creator,VALORANT,3.18
shinobi,Josh Abastado,28,25-29,1994-06-23,United States,NA,Counter Logic Gaming,VALORANT,3.18
psalm,Harrison Chang,27,25-29,1995-02-06,United States,NA,The Guard,Apex,1.0
rpr,Dan Ušić,26,25-29,1996-08-07,Croatia,EU,SCARZ,Apex,1.0
Nocturnal,Brandon Singer,28,25-29,1994-06-12,United States,NA,XSET,Apex,1.0
LiNkzr,Jiri Masalin,28,25-29,1994-04-09,Finland,EU,Content Creator,Apex,1.0
ZmjjKK,Zheng Yongkang,18,15-19,2004-03-03,China,AS,Edward Gaming,VALORANT,3.18
Wanted,John Lin,24,20-24,1998-04-23,United States,NA,Content Creator,Overwatch,0.3
dafran,Daniel Francesca,29,25-29,1993-12-27,Denmark,EU,Content Creator,Overwatch,0.3
ryujehong,Jehong Ryu,31,30-34,1991-09-05,South Korea,AS,Gen.G,Overwatch,0.3
Saebyeolbe,Jong-Ryeol Park,27,25-29,1995-12-23,South Korea,AS,Content Creator,Overwatch,0.3
Yuki,Oscar Jiang,27,25-29,1995-11-19,United Kingdom,EU,Alliance,Apex,1.0
Sleepy,Nikola Andrews,24,20-24,1998-09-16,United States,NA,Content Creator,Overwatch,0.3
Xepher,Jae-Mo Koo,26,25-29,1996-09-15,South Korea,AS,Free Agent,Overwatch,0.3
aproto,Alex Protopapas,23,20-24,1999-06-15,United States,NA,Ghost Gaming,VALORANT,3.18
Klaus,Nicolas Ferrari,21,20-24,2001-04-04,Argentina,SA,KRÜ Esports,VALORANT,3.18
Sceptic,Griffin Spikoski,18,15-19,2004-04-30,United States,NA,Content Creator,Fortnite,0.25
Mickie,Pongphop Rattanasangchod,29,25-29,1993-10-28,Thailand,AS,Content Creator,Overwatch,0.3
xQc,Félix Lengyel,27,25-29,1995-11-12,Canada,NA,Luminosity,Overwatch,0.3
SEIDER,Mathias Seider,21,20-24,2001-07-10,Denmark,EU,Alliance,VALORANT,3.18
Russ,Russel Mendes,24,20-24,1998-01-17,United Kingdom,EU,Guild Esports,VALORANT,3.18
Kamo,Liam Fillery,23,20-24,1999-09-09,Germany,EU,Content Creator,Fortnite,0.25
dooplex,Ira Shepherd,26,25-29,1996-07-31,United States,NA,OpTic Gaming,Apex,1.0
Jarvis,Jarvis Khattri,21,20-24,2001-11-11,United Kingdom,EU,Content Creator,Fortnite,0.25
YukaF,Yuga Horie,19,15-19,2003-08-18,Japan,AS,Fnatic,Apex,1.0
Lothar,Jakub Szygulski,37,35-39,1985-07-08,Poland,EU,G2 Esports,VALORANT,3.18
SkittleCakes,William August,23,20-24,1999-05-21,United States,NA,OpTic Gaming,Apex,1.0
Reet,Nathan Admunson,16,15-19,2006-05-16,United States,NA,TSM,Fortnite,0.25
Fresh,Harley Campbell,20,20-24,2002-03-04,Australia,OC,Luminosity,Fortnite,0.25
Megga,Noam Ackenine,18,15-19,2004-10-16,United States,NA,FaZe Clan,Fortnite,0.25
Emad,Emad Nasif,22,20-24,2000-06-08,United States,NA,Free Agent,Fortnite,0.25
Dubs,Danny Walsh,20,20-24,2002-11-21,United States,NA,FaZe Clan,Fortnite,0.25
Cizzorz,John Cizek,26,25-29,1996-04-25,United States,NA,FaZe Clan,Fortnite,0.25
Thiefs,Nicholas Smorto,26,25-29,1996-05-20,United States,NA,Content Creator,Fortnite,0.25
POW3R,Giorgio Calandrelli,30,30-34,1992-11-22,Italy,EU,Fnatic,Fortnite,0.25
Nikof,Nicolas Frejavise,22,20-24,2000-02-04,France,EU,Team Vitality,Fortnite,0.25
letw1k3,Mark Danilov,17,15-19,2005-04-08,Russia,EU,Gambit,Fortnite,0.25
Replays,Franco Sicilia,26,25-29,1996-10-17,Canada,NA,FaZe Clan,Fortnite,0.25
Nate Hill,Nate Hill,28,25-29,1994-08-18,United States,NA,FaZe Clan,Fortnite,0.25
H1ghsky1,Patrick Bragaru,15,15-19,2007-04-01,United States,NA,FaZe Clan,Fortnite,0.25
DrLupo,Benjamin Lupo,35,35-39,1987-03-20,United States,NA,Content Creator,Fortnite,0.25
Gotaga,Corentin Houssein,29,25-29,1993-09-07,France,EU,Team Vitality,Fortnite,0.25
Avxry,Avery LoPriore,25,25-29,1997-04-22,United States,NA,Content Creator,Fortnite,0.25
SypherPK,Ali Hassan,26,25-29,1996-05-10,United States,NA,Content Creator,Fortnite,0.25
Vorwenn,Tom Baldrich Piqué,23,20-24,1999-12-20,Spain,EU,Content Creator,Fortnite,0.25
Kiryache32,Kirill Grishin,17,15-19,2005-01-30,Russia,EU,Content Creator,Fortnite,0.25
Teeqzy,Klaivert Dervishi,21,20-24,2001-01-06,Belgium,EU,Content Creator,Fortnite,0.25
DaZeD,Sam Marine,33,30-34,1989-09-27,United States,NA,Free Agent,VALORANT,3.18
Derke,Nikita Simitev,19,15-19,2003-02-06,Finland,EU,Fnatic,VALORANT,3.18
Surf,Thanachart Rungapajaratkul,18,15-19,2004-04-02,Thailand,AS,Xerxia Esports,VALORANT,3.18
BONECOLD,Santeri Sassi,25,25-29,1997-10-13,Finland,EU,Team Vitality,VALORANT,3.18
starxo,Patryk Kopczyński,21,20-24,2001-08-28,Poland,EU,Acend,VALORANT,3.18
Davidp,David Prins,28,25-29,1994-09-08,Belgium,EU,OG Esports,VALORANT,3.18
seb,Sebastian Bucki,31,30-34,1991-04-15,United States,NA,Free Agent,VALORANT,3.18
zombs,Jared Gitlin,24,20-24,1998-10-02,United States,NA,Sentinels,VALORANT,3.18
Myth,Ali Kabbani,23,20-24,1999-05-24,United States,NA,Content Creator,Fortnite,0.25
Horcus,Salvador Matas Salas,27,25-29,1995-07-16,Spain,EU,Content Creator,VALORANT,3.18
ec1s,Adam Eccles,22,20-24,2000-06-26,United States,NA,Free Agent,VALORANT,3.18
Corey,Corey Nigra,23,20-24,1999-05-11,United States,NA,TSM,VALORANT,3.18
ZachaREEE,Zachary Lombardo,21,20-24,2001-01-27,United States,NA,Akrew,VALORANT,3.18
aimdll,Hüseyin Kabişteke,21,20-24,2001-05-01,Turkey,AS,BBL Esports,VALORANT,3.18
paTiTek,Patryk Fabrowski,23,20-24,1999-09-07,Poland,EU,Excel Esports,VALORANT,3.18
Boaster,Jake Howlett,27,25-29,1995-05-25,United Kingdom,EU,Fnatic,VALORANT,3.18
Danteh,Dante Cruz,23,20-24,1999-03-24,United States,NA,Overwatch League,Overwatch,0.3
Pine,Do-Hyeon Kim,25,25-29,1997-10-15,South Korea,AS,Free Agent,Overwatch,0.3
Fate,Pan-Seung Koo,24,20-24,1998-10-15,South Korea,AS,Overwatch League,Overwatch,0.3
Profit,Jun-Young Park,23,20-24,1999-11-19,South Korea,AS,Overwatch League,Overwatch,0.3
EFFECT,Hyeon Hwang,25,25-29,1997-05-16,South Korea,AS,Content Creator,Overwatch,0.3
Architect,Park Min-ho,22,20-24,2000-02-26,South Korea,AS,Overwatch League,Overwatch,0.3
Poko,Gael Gouzerch,26,25-29,1996-07-21,France,EU,Overwatch League,Overwatch,0.3
Harbleu,Anthony Ballo,29,25-29,1993-04-08,United States,NA,Luminosity,Overwatch,0.3
Striker,Nam-joo Kwon,23,20-24,1999-12-04,South Korea,AS,Overwatch League,Overwatch,0.3
ANS,Lee Seon-chang,22,20-24,2000-02-04,South Korea,AS,Content Creator,Overwatch,0.3
Super,Matthew DeLisi,22,20-24,2000-03-28,United States,NA,Content Creator,Overwatch,0.3
Fury,Jun-Ho Kim,23,20-24,1999-11-25,South Korea,AS,Overwatch League,Overwatch,0.3
OGE,Min-Seok Son,23,20-24,1999-10-15,South Korea,AS,Overwatch League,Overwatch,0.3
SPACE,Indy Halpern,22,20-24,2000-03-28,United States,NA,Overwatch League,Overwatch,0.3
Carpe,Lee Jae-Hyeok,24,20-24,1998-10-14,South Korea,AS,Overwatch League,Overwatch,0.3
Anamo,Tae-Sung Jung,25,25-29,1997-09-02,South Korea,AS,Overwatch League,Overwatch,0.3
JJoNaK,Seong-Hyun Bang,23,20-24,1999-12-20,South Korea,AS,Free Agent,Overwatch,0.3
Fleta,Byung-Sun Kim,23,20-24,1999-09-02,South Korea,AS,Overwatch League,Overwatch,0.3
Hydration,Joao Pedro Veloso de Goes Telles,24,20-24,1998-03-08,Brazil,SA,Free Agent,Overwatch,0.3
Nadeshot,Matthew Haag,30,30-34,1992-08-03,United States,NA,100 Thieves,VALORANT,3.18
Marksman,Nick Overton,31,30-34,1991-06-10,United States,NA,Counter Logic Gaming,Fortnite,0.25
Hamlinz,Darryle Hamlin,27,25-29,1995-05-23,United States,NA,NRG,Fortnite,0.25
Daequan,Daequan Loco,28,25-29,1994-05-12,United States,NA,NRG,Fortnite,0.25
Tilt,Jonathan Derosa,24,20-24,1998-09-02,United States,NA,Free Agent,Fortnite,0.25
POACH,Jake Brumleve,23,20-24,1999-02-24,United States,NA,FaZe Clan,VALORANT,3.18
Edgey,Ben Peterson,19,15-19,2003-02-14,United States,NA,Content Creator,Fortnite,0.25
Zayt,Williams Aubin,22,20-24,2000-03-02,Canada,NA,NRG,Fortnite,0.25
Aydan,Aydan Conrad,23,20-24,1999-04-25,United States,NA,Content Creator,Fortnite,0.25
Flikk,Nikolaj Andreas Frøslev,19,15-19,2003-07-04,Denmark,EU,Content Creator,Fortnite,0.25
Mitr0,Dmitri Van de Vrie,20,20-24,2002-06-06,Netherlands,EU,Free Agent,Fortnite,0.25
Cented,Evan Barron,21,20-24,2001-11-10,Canada,NA,Free Agent,Fortnite,0.25
Thwifo,Zander Kim,20,20-24,2002-08-30,United States,NA,Free Agent,VALORANT,3.18
Ninja,Tyler Blevins,27,25-29,1995-06-05,United States,NA,Content Creator,Fortnite,0.25
Nickmercs,Nick Kolcheff,32,30-34,1990-11-21,United States,NA,FaZe Clan,Fortnite,0.25
Sway,Josue Burgos,18,15-19,2004-01-27,United States,NA,FaZe Clan,Fortnite,0.25
Cloakzy,Dennis Lepore,28,25-29,1994-12-26,United States,NA,Complexity,Call of duty,0.3
timthetatman,Timothy John Betar,32,30-34,1990-04-08,United States,NA,Content Creator,Call of duty,0.3
Noko,Christian Feliciano,29,25-29,1993-05-12,United States,NA,Content Creator,Apex,1.0
Hardecki,Konstantin Kozlov,19,15-19,2003-02-02,Russia,EU,Free Agent,Apex,1.0
Flanker,Thomas Cook,24,20-24,1998-07-03,United States,NA,Team Liquid,Apex,1.0
Shiv,Shivam Patel,24,20-24,1998-05-11,United Kingdom,EU,Luminosity,Apex,1.0
Diegosaurs,Diego Navarrette,26,25-29,1996-08-08,United States,NA,Content Creator,Apex,1.0
Sweet,Christopher Sexton,23,20-24,1999-07-02,United States,NA,NRG,Apex,1.0
stormen,Ludvig Storm,29,25-29,1993-03-02,Sweden,EU,Content Creator,Apex,1.0
Mande,Mikkel Hestbek,25,25-29,1997-08-11,Denmark,EU,Free Agent,Apex,1.0
Mendo,Lucas Håkansson,24,20-24,1998-04-15,Sweden,EU,Team Liquid,VALORANT,3.18
Reps,Jordan Wolfe,27,25-29,1995-04-23,United States,NA,TSM,Apex,1.0
Albralelie,Mac Beckwith,22,20-24,2000-09-13,United States,NA,TSM,Apex,1.0
Snip3down,Eric Wrona,31,30-34,1991-05-03,United States,NA,FaZe Clan,Apex,1.0
rocker,Aidan Grodin,19,15-19,2003-09-08,United States,NA,Cloud9,Apex,1.0
nafen,Nathan Nguyen,21,20-24,2001-10-17,United States,NA,NRG,Apex,1.0
Seagull,Brandon Larned,30,30-34,1992-07-23,United States,NA,Content Creator,Overwatch,0.3
Dropped,Mark Thees,23,20-24,1999-08-31,United States,NA,Spacestation Gaming,Apex,1.0
9impulse,Kirill Kostiv,23,20-24,1999-10-31,Belarus,EU,Fire Beavers,Apex,1.0
Huskerrs,Jordan Thomas,27,25-29,1995-10-04,United States,NA,Luminosity,Call of duty,0.3
Queasy,Aleksa Cvetkovic,20,20-24,2002-04-17,Serbia,EU,Content Creator,Fortnite,0.25
Aspect,Nicholas McGuire,20,20-24,2002-10-02,United States,NA,Content Creator,Fortnite,0.25
Dakotaz,Brett Hoffman,36,35-39,1986-07-12,United States,NA,Content Creator,Fortnite,0.25
Chapix,Moussa Faour,18,15-19,2004-06-04,Sweden,EU,Falcons Esports,Fortnite,0.25
Vadeal,Alexander Schlik,17,15-19,2005-01-11,Germany,EU,Wave Esports,Fortnite,0.25
volx,unknown,19,15-19,2003-02-15,Australia,OC,JFT Esports,Fortnite,0.25
LOLiTO FDEZ,Manuel Fernandez,32,30-34,1990-08-13,Spain,EU,Giants,Fortnite,0.25
DrDisRespect,Herschel Beahm IV,40,40-44,1982-03-10,United States,NA,Content Creator,Call of duty,0.3
Andilex,Alexandre Cristophe,19,15-19,2003-01-31,France,EU,Falcons Esports,Fortnite,0.25
Clix,Cody Conrod,17,15-19,2005-01-07,United States,NA,NRG,Fortnite,0.25
Mongraal,Kyle Jackson,18,15-19,2004-08-13,United Kingdom,EU,FaZe Clan,Fortnite,0.25
Crust,Nicholas Kell,20,20-24,2002-07-09,Canada,NA,Sentinels,Apex,1.0
Hakis,John Håkansson,27,25-29,1995-06-26,Sweden,EU,Alliance,Apex,1.0
Monsoon,Bowen Fuller,24,20-24,1998-08-01,United States,NA,Complexity,Apex,1.0
Zachmazer,Zach Mazer,22,20-24,2000-03-15,United States,NA,Content Creator,Apex,1.0
Ado,Gihyeon Chon,23,20-24,1999-11-16,South Korea,AS,Free Agent,Overwatch,0.3
Kalios,WooYul Shin,24,20-24,1998-11-09,South Korea,AS,Overwatch League,Overwatch,0.3
